key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2069,70.3,59.2,97.7,52.4,87.1,66.3,100.9,0,0,0,0,0,0,0,56.4,45.9,76.7,40.4,68.2,51.5,79.3,132,107.3,179.4,94.4,159.5,120.4,185.5,4.67,3.61,6.16,3.15,5.46,4.08,6.38
heat,2070,71.4,60.1,99.4,52.9,88.7,67.2,102.9,0,0,0,0,0,0,0,57.5,46.6,78.2,40.8,69.6,52.3,81,134.4,108.9,182.8,95.5,162.7,122.4,189.6,4.74,3.66,6.27,3.18,5.56,4.13,6.51
heat,2071,72.6,60.5,101.1,53.5,89.3,67.7,103.7,0,0,0,0,0,0,0,58.5,47,79.7,41.3,70.2,52.8,81.8,136.8,109.9,186.4,96.6,164.1,123.5,191.2,4.82,3.69,6.38,3.22,5.6,4.16,6.55
heat,2072,73.7,61,102.9,54,90,68.3,104.4,0,0,0,0,0,0,0,59.5,47.4,81.2,41.8,70.8,53.3,82.5,139.3,111,190,97.7,165.6,124.6,192.9,4.9,3.71,6.5,3.25,5.64,4.19,6.6
heat,2073,74.9,61.5,104.6,54.5,90.6,68.8,105.2,0,0,0,0,0,0,0,60.6,47.9,82.8,42.2,71.4,53.8,83.2,141.7,112,193.6,98.8,167.1,125.8,194.7,4.98,3.74,6.61,3.28,5.68,4.23,6.65
heat,2074,76.1,62,106.4,55.1,91.3,69.3,106,0,0,0,0,0,0,0,61.7,48.3,84.3,42.7,72.1,54.3,84,144.2,113,197.2,99.9,168.6,126.9,196.4,5.07,3.77,6.73,3.31,5.72,4.26,6.7
heat,2075,77.3,62.5,108.2,55.6,92,69.8,106.7,0,0,0,0,0,0,0,62.8,48.8,85.9,43.2,72.7,54.8,84.7,146.8,114.1,200.9,101,170.1,128.1,198.2,5.15,3.8,6.84,3.34,5.76,4.29,6.74
heat,2076,78.5,63,110,56.2,92.7,70.4,107.5,0,0,0,0,0,0,0,63.9,49.2,87.5,43.7,73.4,55.3,85.5,149.4,115.1,204.7,102.2,171.7,129.3,199.9,5.23,3.82,6.96,3.37,5.8,4.32,6.79
heat,2077,79.7,63.5,111.9,56.7,93.4,70.9,108.3,0,0,0,0,0,0,0,65,49.7,89.1,44.2,74.1,55.8,86.2,152,116.2,208.5,103.4,173.2,130.5,201.7,5.32,3.85,7.08,3.4,5.85,4.35,6.84
heat,2078,81,64,113.7,57.3,94.1,71.5,109.1,0,0,0,0,0,0,0,66.1,50.1,90.8,44.7,74.7,56.3,87,154.6,117.3,212.3,104.5,174.8,131.7,203.5,5.4,3.88,7.2,3.43,5.89,4.38,6.89
heat,2079,82.2,64.5,115.6,57.8,94.8,72,109.9,0,0,0,0,0,0,0,67.2,50.6,92.4,45.2,75.4,56.8,87.8,157.3,118.4,216.2,105.7,176.4,132.9,205.4,5.49,3.91,7.32,3.47,5.93,4.41,6.94
heat,2080,83.5,65,117.5,58.4,95.5,72.6,110.7,0,0,0,0,0,0,0,68.4,51.1,94.1,45.7,76.1,57.3,88.6,160,119.5,220.1,106.9,178,134.1,207.2,5.57,3.94,7.44,3.5,5.97,4.45,6.99
heat,2081,84.7,65.5,119.4,59,96.2,73.2,111.6,0,0,0,0,0,0,0,69.6,51.6,95.8,46.2,76.8,57.9,89.4,162.7,120.6,224.1,108.1,179.6,135.3,209.1,5.66,3.97,7.57,3.53,6.02,4.48,7.04
heat,2082,86,66,121.4,59.6,96.9,73.7,112.4,0,0,0,0,0,0,0,70.8,52,97.5,46.7,77.5,58.4,90.2,165.5,121.7,228.2,109.3,181.2,136.6,211,5.75,4,7.69,3.57,6.06,4.51,7.1
